experiment_name,model_type,loss,tokens_per_sec,peak_memory_mb,best_tick,conf_tick,tick_count,effective_tick,active_cell_fraction,loss_per_gb,tokens_per_gb,quality_cost_score,losses_per_tick,certainties_per_tick,hidden_size,num_hidden_layers,d_model,d_input,iterations,memory_length,memory_hidden_dims,deep_nlms,synapse_depth,tick_loss_mode,elf_horizon_mode,elf_max_horizon,tick_improve_weight,tick_improve_margin,tick_halt_mode,tick_halt_threshold,tick_halt_temperature,tick_compute_weight,cell_sparsity_mode,cell_topk,cell_sparsity_rescale,self_cond,cross_layer_state,global_step,metrics_file
sp02_d768_topk384,ctm,5.546736860275269,1866.0309693260024,55885.74267578125,2.1666667461395264,2.8333334922790527,4,-1.0,0.5,0.10163340904089496,34.19147033037285,0.16222574831325726,"[6.796146, 6.686542, 6.591041, 6.55248]","[0.748851, 0.751525, 0.74271, 0.726659]",768,16,768,256,4,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,384,1,1,1,1000,runs/metrics/sp02_d768_topk384.csv
sp02_d768_topk96,ctm,5.504903101921082,1885.728142061069,55882.78564453125,0.8333333730697632,0.5833333730697632,4,-1.0,0.125,0.10087222230158874,34.55421191336948,0.1593120721642377,"[6.569111, 6.583745, 6.649318, 6.870621]","[0.727396, 0.735113, 0.758247, 0.734588]",768,16,768,256,4,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,96,1,1,1,1000,runs/metrics/sp02_d768_topk96.csv
sp03_d1024_sd1_mh1_topk512,ctm,5.467510509490967,1588.8189156183246,58536.81494140625,2.25,2.75,4,-1.0,0.5,0.09564460873593697,27.793629892943397,0.1967181160053919,"[6.671944, 6.620621, 6.553496, 6.485999]","[0.774328, 0.744105, 0.732431, 0.70853]",768,16,1024,256,4,8,1,1,1,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,512,1,1,1,1000,runs/metrics/sp03_d1024_sd1_mh1_topk512.csv
sp03_d1024_sd1_mh2_topk512,ctm,5.45773856639862,1478.0640335778496,65453.62744140625,1.9166667461395264,2.6666667461395264,4,-1.0,0.5,0.08538448532887172,23.12381497478698,0.23602241119596645,"[6.728725, 6.622516, 6.511236, 6.516528]","[0.763572, 0.760213, 0.741161, 0.716378]",768,16,1024,256,4,8,2,1,1,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,512,1,1,1,1000,runs/metrics/sp03_d1024_sd1_mh2_topk512.csv
sp03_d1024_sd2_mh1_topk512,ctm,5.44339919090271,1547.5110390344673,63345.64306640625,2.1666667461395264,2.75,4,-1.0,0.5,0.08799406717903265,25.015947857851554,0.21759715929349582,"[6.652161, 6.61972, 6.514729, 6.510384]","[0.75745, 0.754642, 0.737648, 0.702762]",768,16,1024,256,4,8,1,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,512,1,1,1,1000,runs/metrics/sp03_d1024_sd2_mh1_topk512.csv
sp03_d1024_sd2_mh2_topk512,ctm,5.452317214012146,1444.2039959177637,70264.3994140625,2.1666667461395264,2.9166667461395264,4,-1.0,0.5,0.07945948266414753,21.047143420453324,0.2590525994474699,"[6.738279, 6.639646, 6.574861, 6.486823]","[0.799193, 0.750531, 0.740367, 0.720623]",768,16,1024,256,4,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,512,1,1,1,1000,runs/metrics/sp03_d1024_sd2_mh2_topk512.csv
sp03_d512_sd1_mh1_topk256,ctm,5.455888772010804,2907.4159144010455,35563.34765625,2.0833334922790527,2.8333334922790527,4,-1.0,0.5,0.15709516878277396,83.71523190459406,0.06517199615750452,"[6.888705, 6.66833, 6.583845, 6.547336]","[0.742845, 0.754616, 0.739897, 0.725782]",768,16,512,256,4,8,1,1,1,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,256,1,1,1,1000,runs/metrics/sp03_d512_sd1_mh1_topk256.csv
sp03_d512_sd1_mh2_topk256,ctm,5.478529739379883,2713.350540706541,39021.775390625,2.0,2.5833334922790527,4,-1.0,0.5,0.14376625350759434,71.20308919493773,0.07694230406746715,"[6.65887, 6.594414, 6.505683, 6.487016]","[0.763105, 0.760868, 0.743762, 0.7244]",768,16,512,256,4,8,2,1,1,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,256,1,1,1,1000,runs/metrics/sp03_d512_sd1_mh2_topk256.csv
sp03_d512_sd2_mh1_topk256,ctm,5.457739639282226,2796.3730642920023,38144.83056640625,2.3333334922790527,2.8333334922790527,4,-1.0,0.5,0.1465133101298117,75.06878324836111,0.07270318504065242,"[6.716051, 6.650641, 6.553601, 6.500328]","[0.759982, 0.760892, 0.747471, 0.726005]",768,16,512,256,4,8,1,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,256,1,1,1,1000,runs/metrics/sp03_d512_sd2_mh1_topk256.csv
sp03_d512_sd2_mh2_topk256,ctm,5.485189270973206,2616.053287203256,41601.40087890625,2.5,2.8333334922790527,4,-1.0,0.5,0.13501549694987666,64.39298940662414,0.0851830194795855,"[6.775777, 6.699419, 6.556904, 6.48017]","[0.787868, 0.747114, 0.741947, 0.715508]",768,16,512,256,4,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,256,1,1,1,1000,runs/metrics/sp03_d512_sd2_mh2_topk256.csv
