stage,exp,task,sweep,seed,status,ckpt,n_points,final_iter,final_test_acc,best_test_acc,final_train_acc,best_train_acc,final_test_acc_mc,best_test_acc_mc,final_test_loss,d_model,heads,memory_hidden_dims,synapse_depth,n_ticks,length,neuron_select_type,batch_size,learning_rate,jepa_weight,jepa_loss_type,jepa_predict_delta,cross_tick_jepa_weight,sparsity,halt_threshold,halt_confidence_weight,halt_mode,loss_type,loss_aggregation,reflex_weight
sparsity,mazes_sparsity0p1_s1,mazes,sparsity0p1,1,ok,checkpoint.pt,100,100000,0.8974502666666667,0.8981650666666667,0.9414255729166666,0.9432777083333335,0.9017,0.90364,0.47913769260048866,2048,16,32,8,,,first-last,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,mazes_sparsity0p5_s0,mazes,sparsity0p5,0,ok,checkpoint.pt,100,100000,0.8954026666666667,0.8955749333333333,0.9169714583333333,0.9188794791666667,0.90127,0.90155,0.34664155915379524,2048,16,32,8,,,first-last,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,mazes_sparsity0p5_s1,mazes,sparsity0p5,1,ok,checkpoint.pt,100,100000,0.9056678666666667,0.9057601333333334,0.9442744791666666,0.9451094791666668,0.91018,0.91138,0.42993082478642464,2048,16,32,8,,,first-last,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,mazes_sparsity0p25_s4,mazes,sparsity0p25,4,ok,checkpoint.pt,100,100000,0.9016634666666666,0.9029472,0.960691875,0.9617321354166667,0.90614,0.90807,0.681610457599163,2048,16,32,8,,,first-last,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,mazes_sparsity0p25_s2,mazes,sparsity0p25,2,ok,checkpoint.pt,100,100000,0.8802009333333333,0.8805014666666667,0.9110583333333333,0.9146771354166667,0.88812,0.88869,0.4466158449649811,2048,16,32,8,,,first-last,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,mazes_sparsity0p25_s3,mazes,sparsity0p25,3,ok,checkpoint.pt,100,100000,0.896582,0.8969918666666667,0.94274453125,0.9454792708333333,0.90119,0.90266,0.5434774495661259,2048,16,32,8,,,first-last,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,mazes_sparsity0p5_s2,mazes,sparsity0p5,2,ok,checkpoint.pt,100,100000,0.8916617333333333,0.8941149333333334,0.9314242708333332,0.934775,0.90098,0.90334,0.44421691447496414,2048,16,32,8,,,first-last,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,mazes_sparsity0p1_s4,mazes,sparsity0p1,4,ok,checkpoint.pt,100,100000,0.8970346666666665,0.8982214666666667,0.9558366666666667,0.9564847916666666,0.90119,0.90387,0.6680158041417599,2048,16,32,8,,,first-last,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,mazes_sparsity0p25_s0,mazes,sparsity0p25,0,ok,checkpoint.pt,100,100000,0.8925402666666666,0.8928174666666666,0.9225718229166666,0.92490734375,0.90248,0.90272,0.37812746688723564,2048,16,32,8,,,first-last,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,mazes_sparsity0p1_s0,mazes,sparsity0p1,0,ok,checkpoint.pt,100,100000,0.880162,0.8853252,0.8970530729166667,0.9092436979166666,0.88744,0.89147,0.3718814477324486,2048,16,32,8,,,first-last,64,,,,,0.0,,,,,softmax_ce,,0.1
