stage,exp,task,sweep,seed,status,ckpt,n_points,final_iter,final_test_acc,best_test_acc,final_train_acc,best_train_acc,final_test_acc_mc,best_test_acc_mc,final_test_loss,d_model,heads,memory_hidden_dims,synapse_depth,n_ticks,length,neuron_select_type,batch_size,learning_rate,jepa_weight,jepa_loss_type,jepa_predict_delta,cross_tick_jepa_weight,sparsity,halt_threshold,halt_confidence_weight,halt_mode,loss_type,loss_aggregation,reflex_weight
sparsity,parity_sparsity0p25_s0,parity,sparsity0p25,0,ok,checkpoint_200000.pt,201,200000,0.8228443932911705,0.8239639136904762,0.8233745659722224,0.8240647476438492,0.9999825613839286,0.9999941871279762,5.475656323705196e-05,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,mazes_sparsity0p1_s2,mazes,sparsity0p1,2,ok,checkpoint.pt,100,100000,0.8884777333333332,0.8885636,0.9084829166666668,0.91209375,0.89342,0.89397,0.40131980925798416,2048,16,32,8,,,first-last,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,parity_sparsity0p1_s4,parity,sparsity0p1,4,ok,checkpoint_200000.pt,201,200000,0.6394707961309525,0.6424810112847222,0.6400292968750001,0.6426536148313492,0.6580287388392857,0.6594645182291666,0.4734505500112261,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,parity_sparsity0p25_s1,parity,sparsity0p25,1,ok,checkpoint_200000.pt,201,200000,0.7924164109002977,0.7934202551463294,0.792660396515377,0.7933597237723213,0.9999883742559523,1.0,5.337076679484734e-05,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,parity_sparsity0p25_s3,parity,sparsity0p25,3,ok,checkpoint_200000.pt,201,200000,0.7286264183407739,0.7295076884920636,0.7280220346602183,0.7297316003224206,0.9567987351190477,0.9567987351190477,0.06362741564710934,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,parity_sparsity0p5_s0,parity,sparsity0p5,0,ok,checkpoint_200000.pt,201,200000,0.7793601578000992,0.7844216579861112,0.7794058857266866,0.7840408761160714,0.9999970935639881,0.9999970935639881,2.0101105645975562e-05,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,parity_sparsity0p25_s4,parity,sparsity0p25,4,ok,checkpoint_200000.pt,201,200000,0.653628394717262,0.6953287372891864,0.6538792395213292,0.6945883324032737,0.6751011439732143,0.8394659133184523,0.4354937715189798,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,parity_sparsity0p5_s1,parity,sparsity0p5,1,ok,checkpoint_200000.pt,201,200000,0.7186771065848215,0.7189121791294644,0.7182683841765874,0.7188238234747024,0.8495221819196429,0.8505510602678571,0.20376551151275635,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,parity_sparsity0p5_s2,parity,sparsity0p5,2,ok,checkpoint_200000.pt,201,200000,0.779457775297619,0.7806908404637898,0.7795296999007936,0.7802364676339287,0.9999796549479166,1.0,0.00025381678012979813,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,mazes_sparsity0p5_s1,mazes,sparsity0p5,1,ok,checkpoint.pt,100,100000,0.8961013333333334,0.8969480000000001,0.9194383333333334,0.9223044270833334,0.90127,0.90209,0.3407544828951359,2048,16,32,8,,,first-last,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,mazes_sparsity0p1_s0,mazes,sparsity0p1,0,ok,checkpoint.pt,100,100000,0.9057265333333333,0.9062262666666667,0.9333833854166668,0.9364495312500001,0.9099,0.91054,0.37642502784729004,2048,16,32,8,,,first-last,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,parity_sparsity0p5_s3,parity,sparsity0p5,3,ok,checkpoint_200000.pt,201,200000,0.7219220842633928,0.7226726810515873,0.7222843812003968,0.7228001767113096,0.9042765299479166,0.9048694428943452,0.1358920626697086,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,parity_sparsity0p5_s4,parity,sparsity0p5,4,ok,checkpoint_200000.pt,201,200000,0.7309783451140872,0.7311058020213294,0.730994388640873,0.7316563197544642,0.8919474283854166,0.8919474283854166,0.14638555972349077,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,parity_sparsity0p75_s0,parity,sparsity0p75,0,ok,checkpoint_200000.pt,201,200000,0.6569343687996031,0.6874090866815475,0.6576562112475198,0.6871684337797619,0.7698480515252977,0.8291684105282738,0.32000754134995596,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,parity_sparsity0p75_s1,parity,sparsity0p75,1,ok,checkpoint_200000.pt,201,200000,0.7259253704737103,0.746502433655754,0.725461929563492,0.7465368071056547,0.8717389787946429,0.9334629603794643,0.1840770294268926,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,parity_sparsity0p75_s2,parity,sparsity0p75,2,ok,checkpoint_200000.pt,201,200000,0.7904754541790675,0.7906417410714284,0.790553695436508,0.7906078714037699,0.9974161783854166,0.9975411551339286,0.004454795869865588,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,mazes_sparsity0p5_s2,mazes,sparsity0p5,2,ok,checkpoint.pt,100,100000,0.8813694666666666,0.8837074666666668,0.9038309375,0.9069210416666668,0.88787,0.89137,0.36864933371543884,2048,16,32,8,,,first-last,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,mazes_sparsity0p5_s3,mazes,sparsity0p5,3,ok,checkpoint.pt,100,100000,0.8984350666666666,0.8992058666666667,0.9375415624999999,0.9417719270833333,0.90559,0.90721,0.4269619472324848,2048,16,32,8,,,first-last,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,parity_sparsity0p75_s3,parity,sparsity0p75,3,ok,checkpoint_200000.pt,201,200000,0.7907003735739089,0.8054996357266866,0.7902456907242064,0.8047088138640872,0.9999331519717262,1.0,0.0001841029883334635,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,mazes_sparsity0p5_s4,mazes,sparsity0p5,4,ok,checkpoint.pt,100,100000,0.8963562666666667,0.8965295999999999,0.9226944791666666,0.9236479687500001,0.90142,0.90223,0.3576645702123642,2048,16,32,8,,,first-last,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,parity_sparsity0p75_s4,parity,sparsity0p75,4,ok,checkpoint_200000.pt,201,200000,0.7084168061755952,0.7084168061755952,0.707879154265873,0.7082134331597223,0.9999418712797619,0.9999883742559523,0.00015618019423733304,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,mazes_sparsity0p75_s3,mazes,sparsity0p75,3,ok,checkpoint.pt,100,100000,0.8959042666666666,0.8966675999999999,0.9224339062499999,0.9261405208333332,0.90043,0.90168,0.34538204595446587,2048,16,32,8,,,first-last,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,mazes_sparsity0p75_s2,mazes,sparsity0p75,2,ok,checkpoint.pt,100,100000,0.8887326666666666,0.8945228000000001,0.9227895833333334,0.9309069791666666,0.89651,0.90284,0.40266523882746696,2048,16,32,8,,,first-last,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,mazes_sparsity0p75_s0,mazes,sparsity0p75,0,ok,checkpoint.pt,100,100000,0.8590831999999999,0.8786088,0.87085734375,0.8975202604166667,0.86945,0.88735,0.4268603175878525,2048,16,32,8,,,first-last,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,mazes_sparsity0p75_s1,mazes,sparsity0p75,1,ok,checkpoint.pt,100,100000,0.9052439999999999,0.9052439999999999,0.9330225520833334,0.9352831770833334,0.91264,0.91264,0.32133722864091396,2048,16,32,8,,,first-last,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,mazes_sparsity0p75_s4,mazes,sparsity0p75,4,ok,checkpoint.pt,100,100000,0.8863194666666666,0.8961348,0.91861484375,0.9270340625000001,0.90104,0.90436,0.4006024971604347,2048,16,32,8,,,first-last,64,,,,,0.0,,,,,softmax_ce,,0.1
