experiment_name,model_type,modality_pair,dataset,loss,contrastive_loss,tokens_per_sec,peak_memory_mb,temperature,pool_mode,hidden_size,num_hidden_layers,d_model,d_input,iterations,memory_length,memory_hidden_dims,synapse_depth,image_size,patch_size,embed_dim,batch_size,accumulation_steps,freeze_modality,loss_per_gb,global_step,metrics_file
dr08_residual_semantic_syn_delta_d512,ctm,,,5.592254900932312,,864.0664731718045,37379.79931640625,,,768,16,512,256,8,8,2,2,,,,6,1,,0.15319689038676304,1000,runs/metrics/dr08_residual_semantic_syn_delta_d512.csv
dr08_residual_semantic_sync_recursive_d512,ctm,,,5.5911232233047485,,891.5454101574028,37379.79931640625,,,768,16,512,256,8,8,2,2,,,,,,,0.15316588867161693,1000,runs/metrics/draft_revise_dr08_summary.csv
dr08_residual_semantic_sync_recursive_d512,ctm,,,5.5911232233047485,,891.5454101574028,37379.79931640625,,,768,16,512,256,8,8,2,2,,,,6,1,,0.15316588867161693,1000,runs/metrics/dr08_residual_semantic_sync_recursive_d512.csv
dr09_synapse_skip_g16_a0p25_d512,ctm,,,5.586340713500976,,414.6220248471894,34892.21484375,,,768,16,512,256,8,8,2,2,,,,6,1,,0.1639452501436623,1000,runs/metrics/dr09_synapse_skip_g16_a0p25_d512.csv
dr09_synapse_skip_g32_a0p25_d512,ctm,,,5.596458625793457,,268.8422402481433,34906.76171875,,,768,16,512,256,8,8,2,2,,,,6,1,,0.16417374029096038,1000,runs/metrics/dr09_synapse_skip_g32_a0p25_d512.csv
dr09_synapse_skip_g32_a0p25_d512,ctm,,,5.596458625793457,,268.8422402481433,34906.76171875,,,768,16,512,256,8,8,2,2,,,,,,,0.16417374029096038,1000,runs/metrics/draft_revise_dr09_summary.csv
dr10_nlm_hybrid_fast_full_refresh4_d512,ctm,,,5.6155428171157835,,264.20562554801,36480.7998046875,,,768,16,512,256,8,10,2,2,,,,6,1,,0.15762581619681734,1000,runs/metrics/dr10_nlm_hybrid_fast_full_refresh4_d512.csv
dr10_nlm_hybrid_fast_full_refresh8_d512,ctm,,,5.65847864151001,,313.59230854160165,35876.3505859375,,,768,16,512,256,8,10,2,2,,,,6,1,,0.16150701044764132,1000,runs/metrics/dr10_nlm_hybrid_fast_full_refresh8_d512.csv
dr10_nlm_recursive_fast_refresh4_d512,ctm,,,5.694706439971924,,277.81051646178383,27881.0029296875,,,768,16,512,256,8,10,2,2,,,,6,1,,0.20915242573006718,1000,runs/metrics/dr10_nlm_recursive_fast_refresh4_d512.csv
dr10_nlm_recursive_fast_refresh8_d512,ctm,,,5.676809549331665,,400.9090093612738,25543.8505859375,,,768,16,512,256,8,10,2,2,,,,,,,0.22757152289779872,1000,runs/metrics/draft_revise_dr10_summary.csv
dr10_nlm_recursive_fast_refresh8_d512,ctm,,,5.676809549331665,,400.9090093612738,25543.8505859375,,,768,16,512,256,8,10,2,2,,,,6,1,,0.22757152289779872,1000,runs/metrics/dr10_nlm_recursive_fast_refresh8_d512.csv
dr11_speed_cells_event_teacher_d512,ctm,,,10.01629147529602,,106.9580823534791,59961.982421875,,,768,16,512,256,16,8,2,2,,,,5,1,,0.1710530915829317,1000,runs/metrics/dr11_speed_cells_event_teacher_d512.csv
dr11_speed_cells_fast_mid_slow_d512,ctm,,,11.936025524139405,,86.30959301325508,61451.16796875,,,768,16,512,256,16,8,2,2,,,,5,1,,0.19889760505340273,1000,runs/metrics/dr11_speed_cells_fast_mid_slow_d512.csv
dr11_tick_controller_learned_d512,ctm,,,8.559836387634277,,291.83686091862234,49944.74609375,,,768,16,512,256,12,8,2,2,,,,6,1,,0.17549938975531945,1000,runs/metrics/dr11_tick_controller_learned_d512.csv
dr11_tick_controller_threshold_d512,ctm,,,8.651221203804017,,346.12332717491194,49892.56640625,,,768,16,512,256,12,8,2,2,,,,6,1,,0.177558525263306,1000,runs/metrics/dr11_tick_controller_threshold_d512.csv
dr11_tick_controller_threshold_d512,ctm,,,9.429338836669922,,348.4424626952182,49892.56640625,,,768,16,512,256,12,8,2,2,,,,,,,0.19352868902611606,600,runs/metrics/draft_revise_dr11_summary.csv
dr12_objective_causal_ce_d512,ctm,,,10.301397132873536,,1030.995466643063,48734.43603515625,,,768,16,512,256,8,8,2,2,,,,8,1,,0.21645127187791577,1000,runs/metrics/dr12_objective_causal_ce_d512.csv
dr12_objective_hybrid_flow_ce_d512,ctm,,,8.743405485153199,,1027.6525935344098,48783.16162109375,,,768,16,512,256,8,8,2,2,,,,8,1,,0.1835315079891318,1000,runs/metrics/dr12_objective_hybrid_flow_ce_d512.csv
dr12_objective_latent_denoise_d512,ctm,,,7.146677470207214,,1030.3592709712188,48579.58984375,,,768,16,512,256,8,8,2,2,,,,8,1,,0.15064346473550372,1000,runs/metrics/dr12_objective_latent_denoise_d512.csv
dr12_objective_latent_denoise_d512,ctm,,,7.6046147108078,,961.2698529404583,48579.58984375,,,768,16,512,256,8,8,2,2,,,,,,,0.16029623734810183,460,runs/metrics/draft_revise_dr12_summary.csv
fx00a_anchor_d512,ctm,,,5.787259125709534,,1588.8083003145296,17293.12255859375,,,768,16,512,256,4,10,4,3,,,,4,1,,0.3426884488123623,1000,runs/metrics/fx00a_anchor_d512.csv
fx00b_div_t0p1_w0p01_d512,ctm,,,109.41654872894287,,2181.673379663363,47397.17138671875,,,768,16,512,256,4,10,4,3,,,,12,1,,2.3639078582194286,20,runs/metrics/fx00b_div_t0p1_w0p01_d512.csv
fx00b_div_t0p1_w0p05_d512,ctm,,,110.45042209625244,,2178.606311942749,47397.67138671875,,,768,16,512,256,4,10,4,3,,,,12,1,,2.3862191731692217,20,runs/metrics/fx00b_div_t0p1_w0p05_d512.csv
fx00b_div_t0p1_w0p1_d512,ctm,,,142.50781440734863,,1498.4721857922857,69653.38720703125,,,768,16,512,256,4,10,4,3,,,,9,1,,2.0950596633496397,20,runs/metrics/fx00b_div_t0p1_w0p1_d512.csv
fx00b_div_t0p2_w0p01_d512,ctm,,,6.19071786403656,,2118.2937144040875,36369.99853515625,,,768,16,512,256,4,10,4,3,,,,9,1,,0.1743001195517151,320,runs/metrics/fx00b_div_t0p2_w0p01_d512.csv
fx00b_div_t0p2_w0p05_d512,ctm,,,8.117493295669556,,2307.7397086765186,36362.38916015625,,,768,16,512,256,4,10,4,3,,,,9,1,,0.22859645162903006,160,runs/metrics/fx00b_div_t0p2_w0p05_d512.csv
fx00b_div_t0p2_w0p1_d512,ctm,,,5.739066505432129,,2155.1814519287136,36369.99853515625,,,768,16,512,256,4,10,4,3,,,,9,1,,0.1615838421297108,620,runs/metrics/fx00b_div_t0p2_w0p1_d512.csv
fx01a_anchor_d512,ctm,,,5.577832651138306,,2465.645562552184,38834.89794921875,,,768,16,512,256,4,10,4,3,,,,10,1,,0.1470764939883286,1000,runs/metrics/fx01a_anchor_d512.csv
fx01b_halt_infonly_t0p65_d512,ctm,,,5.568715620040893,,1165.5486015935023,56926.54248046875,,,768,16,512,256,8,10,4,3,,,,8,1,,0.10017058030317459,1000,runs/metrics/fx01b_halt_infonly_t0p65_d512.csv
fx01c_trainhalt_t0p50_d512,ctm,,,8.64905035495758,,1208.8784908677214,50493.1181640625,,,768,16,512,256,8,10,4,3,,,,7,1,,0.175402666452477,1000,runs/metrics/fx01c_trainhalt_t0p50_d512.csv
fx01c_trainhalt_t0p65_d512,ctm,,,8.621669912338257,,1206.8406617966662,50496.5908203125,,,768,16,512,256,8,10,4,3,,,,7,1,,0.17483536703794728,1000,runs/metrics/fx01c_trainhalt_t0p65_d512.csv
fx01c_trainhalt_t0p80_d512,ctm,,,8.588544130325317,,1207.2381708403818,50493.1181640625,,,768,16,512,256,8,10,4,3,,,,7,1,,0.1741756007398363,1000,runs/metrics/fx01c_trainhalt_t0p80_d512.csv
fx01g_trainhalt_t0p65_confw0p5_d512,ctm,,,8.861541819572448,,1167.033234109116,50493.1181640625,,,768,16,512,256,8,10,4,3,,,,7,1,,0.17971199151849146,1000,runs/metrics/fx01g_trainhalt_t0p65_confw0p5_d512.csv
fx01h_trainhalt_t0p65_early0p2_d512,ctm,,,10.818984889984131,,1154.9790124228907,50493.1181640625,,,768,16,512,256,8,10,4,3,,,,7,1,,0.21940892006999793,1000,runs/metrics/fx01h_trainhalt_t0p65_early0p2_d512.csv
fx01i_trainhalt_t0p65_confw0p3_early0p1_d512,ctm,,,9.857439422607422,,1132.1670975578952,50493.1181640625,,,768,16,512,256,8,10,4,3,,,,7,1,,0.199908786301382,1000,runs/metrics/fx01i_trainhalt_t0p65_confw0p3_early0p1_d512.csv
fx02a_corrupt_anchor_d512,ctm,,,5.2484417200088505,,1954.694862954135,46459.5166015625,,,768,16,512,256,4,10,4,3,,,,10,1,,0.11567929919245681,1000,runs/metrics/fx02a_corrupt_anchor_d512.csv
fx02b_corrupt_div0p01_d512,ctm,,,5.2229221820831295,,1657.5759296038048,43260.83837890625,,,768,16,512,256,4,10,4,3,,,,9,1,,0.12362849438121183,1000,runs/metrics/fx02b_corrupt_div0p01_d512.csv
fx02b_corrupt_div0p05_d512,ctm,,,5.220414495468139,,1357.1472485651445,43257.0810546875,,,768,16,512,256,4,10,4,3,,,,9,1,,0.12357986976978637,1000,runs/metrics/fx02b_corrupt_div0p05_d512.csv
fx02b_corrupt_div0p1_d512,ctm,,,5.2285157442092896,,1819.5863231494832,43260.83837890625,,,768,16,512,256,4,10,4,3,,,,9,1,,0.1237608960597697,1000,runs/metrics/fx02b_corrupt_div0p1_d512.csv
fx03c_zloss1e-4_p4_s1_t1_d512,ctm,,,5.643078899383545,,872.1074304236529,33830.5771484375,,,768,16,512,256,4,8,2,2,,,,10,1,,0.17080739614977677,1000,runs/metrics/fx03c_zloss1e-4_p4_s1_t1_d512.csv
fx03c_zloss5e-5_p4_s1_t1_d512,ctm,,,5.608161425590515,,1102.4634167989525,33844.99072265625,,,768,16,512,256,4,8,2,2,,,,10,1,,0.16967820576060655,1000,runs/metrics/fx03c_zloss5e-5_p4_s1_t1_d512.csv
fx03h_t2_zloss1e4_d512,ctm,,,5.640553426742554,,932.2181128052323,35036.4873046875,,,768,16,512,256,4,8,2,2,,,,10,1,,0.16485461738088164,1000,runs/metrics/fx03h_t2_zloss1e4_d512.csv
fx03i_p2_s1_t1_zloss1e4_d512,ctm,,,5.650645112991333,,620.6353098065886,36214.00537109375,,,768,16,512,256,4,8,2,2,,,,10,1,,0.159779635983645,1000,runs/metrics/fx03i_p2_s1_t1_zloss1e4_d512.csv
fx04a_topk_anchor_d512,ctm,,,5.608787202835083,,508.44528527189203,33783.54638671875,,,768,16,512,256,4,8,2,2,,,,10,1,,0.1700057782554473,1000,runs/metrics/fx04a_topk_anchor_d512.csv
fx04b_entropy0p1_d512,ctm,,,-0.7629204273223877,,356.52341351325776,33814.75927734375,,,768,16,512,256,4,8,2,2,,,,10,1,,-0.0231032405456619,1000,runs/metrics/fx04b_entropy0p1_d512.csv
fx04e_ent0p05_zloss1e4_d512,ctm,,,2.430001425743103,,686.3462088956607,33872.42919921875,,,768,16,512,256,4,8,2,2,,,,10,1,,0.07346155911422879,1000,runs/metrics/fx04e_ent0p05_zloss1e4_d512.csv
