env,backbone,seed,success_rate,expert_success,n_episodes,n_steps,elapsed_s
reacher-partial,flash,3,62.5,100.0,200,2374,40.2
reacher-partial,flash-shallow,3,54.166666666666664,100.0,200,2374,25.2
reacher-partial,flash-deep,3,70.83333333333333,100.0,200,2374,35.4
reacher-partial,mlp,4,50.0,100.0,200,2447,16.9
reacher-partial,ctm,4,50.0,100.0,200,2447,31.6
reacher-partial,lstm,4,45.833333333333336,100.0,200,2447,22.9
reacher-partial,gru,4,50.0,100.0,200,2447,22.0
reacher-partial,transformer,4,54.166666666666664,100.0,200,2447,45.1
reacher-partial,flash,4,50.0,100.0,200,2447,37.6
reacher-partial,flash-shallow,4,37.5,100.0,200,2447,23.7
reacher-partial,flash-deep,4,50.0,100.0,200,2447,32.8
mountaincar,mlp,0,0.0,100.0,200,24247,87.5
mountaincar,ctm,0,0.0,100.0,200,24247,153.2
mountaincar,lstm,0,0.0,100.0,200,24247,101.3
mountaincar,gru,0,0.0,100.0,200,24247,97.9
mountaincar,transformer,0,0.0,100.0,200,24247,236.1
mountaincar,flash,0,0.0,100.0,200,24247,195.6
mountaincar,flash-shallow,0,0.0,100.0,200,24247,133.5
mountaincar,flash-deep,0,0.0,100.0,200,24247,166.4
mountaincar,mlp,1,0.0,100.0,200,24264,85.5
mountaincar,ctm,1,0.0,100.0,200,24264,153.9
mountaincar,lstm,1,0.0,100.0,200,24264,101.4
mountaincar,gru,1,0.0,100.0,200,24264,98.2
mountaincar,transformer,1,0.0,100.0,200,24264,235.6
mountaincar,flash,1,0.0,100.0,200,24264,195.8
mountaincar,flash-shallow,1,0.0,100.0,200,24264,133.8
mountaincar,flash-deep,1,0.0,100.0,200,24264,166.3
mountaincar,mlp,2,0.0,100.0,200,24181,85.3
mountaincar,ctm,2,0.0,100.0,200,24181,154.7
mountaincar,lstm,2,0.0,100.0,200,24181,101.8
mountaincar,gru,2,79.16666666666667,100.0,200,24181,97.8
mountaincar,transformer,2,0.0,100.0,200,24181,235.3
mountaincar,flash,2,33.333333333333336,100.0,200,24181,195.3
mountaincar,flash-shallow,2,0.0,100.0,200,24181,133.5
mountaincar,flash-deep,2,0.0,100.0,200,24181,166.9
mountaincar,mlp,3,0.0,100.0,200,24213,85.5
mountaincar,ctm,3,0.0,100.0,200,24213,153.5
mountaincar,lstm,3,0.0,100.0,200,24213,100.7
mountaincar,gru,3,0.0,100.0,200,24213,98.3
mountaincar,transformer,3,0.0,100.0,200,24213,236.9
mountaincar,flash,3,0.0,100.0,200,24213,197.0
mountaincar,flash-shallow,3,0.0,100.0,200,24213,133.9
mountaincar,flash-deep,3,0.0,100.0,200,24213,166.2
mountaincar,mlp,4,0.0,100.0,200,24179,85.4
mountaincar,ctm,4,0.0,100.0,200,24179,153.6
mountaincar,lstm,4,0.0,100.0,200,24179,101.6
mountaincar,gru,4,66.66666666666667,100.0,200,24179,98.1
mountaincar,transformer,4,0.0,100.0,200,24179,235.9
mountaincar,flash,4,66.66666666666667,100.0,200,24179,195.7
mountaincar,flash-shallow,4,0.0,100.0,200,24179,132.8
mountaincar,flash-deep,4,0.0,100.0,200,24179,167.7
mountaincar-partial,mlp,0,0.0,100.0,200,24247,87.1
mountaincar-partial,ctm,0,0.0,100.0,200,24247,154.5
mountaincar-partial,lstm,0,0.0,100.0,200,24247,103.1
mountaincar-partial,gru,0,0.0,100.0,200,24247,99.9
mountaincar-partial,transformer,0,0.0,100.0,200,24247,238.8
mountaincar-partial,flash,0,0.0,100.0,200,24247,197.5
mountaincar-partial,flash-shallow,0,0.0,100.0,200,24247,133.7
mountaincar-partial,flash-deep,0,0.0,100.0,200,24247,166.5
mountaincar-partial,mlp,1,0.0,100.0,200,24264,86.4
mountaincar-partial,ctm,1,0.0,100.0,200,24264,154.7
mountaincar-partial,lstm,1,0.0,100.0,200,24264,103.2
mountaincar-partial,gru,1,0.0,100.0,200,24264,99.5
mountaincar-partial,transformer,1,0.0,100.0,200,24264,238.6
mountaincar-partial,flash,1,0.0,100.0,200,24264,197.0
mountaincar-partial,flash-shallow,1,0.0,100.0,200,24264,133.8
mountaincar-partial,flash-deep,1,0.0,100.0,200,24264,167.4
mountaincar-partial,mlp,2,0.0,100.0,200,24181,86.2
mountaincar-partial,ctm,2,0.0,100.0,200,24181,154.9
mountaincar-partial,lstm,2,0.0,100.0,200,24181,102.7
mountaincar-partial,gru,2,79.16666666666667,100.0,200,24181,98.9
mountaincar-partial,transformer,2,0.0,100.0,200,24181,240.1
