stage,task,sweep,seed,best_test_acc,final_test_acc,best_test_acc_mc,delta_pp,n_points,final_iter
st02,cifar10,tick50,2.0,0.3038,0.3038,0.5982,-34.05,2,2000
st02,cifar10,tick50,,0.723874,0.6795460000000001,0.8502,7.957400000000003,101,200000
st03,cifar10,sd1_mh2,1.0,0.7351,0.6524000000000001,0.8413,9.079999999999998,101,200000
st03,cifar10,sd1_mh2,2.0,0.7518,0.6728000000000001,0.8371,10.750000000000004,101,200000
st03,cifar10,sd1_mh2,,0.6373500000000001,0.6373500000000001,0.7998,-0.6949999999999901,6,10000
st03,cifar10,sd2_mh2,1.0,0.66025,0.66025,0.7917,1.595000000000002,6,10000
st03,cifar10,sd2_mh2,2.0,0.6037,0.6037,0.808,-4.059999999999997,6,10000
st03,cifar10,sd2_mh2,,0.71735,0.6770499999999999,0.8392,7.305000000000006,101,200000
st04,cifar10,jepa_mse,1.0,0.189264,0.13038,0.4319,-45.5036,101,200000
st04,cifar10,jepa_mse,2.0,0.399562,0.0999999999999999,0.5913,-24.4738,101,200000
st04,cifar10,jepa_mse,,0.13242,0.0999999999999999,0.2065,-51.188,101,200000
st04,cifar10,jepa_nostopgrad,1.0,0.7008359999999999,0.694148,0.8413,5.653599999999992,101,200000
st04,cifar10,jepa_nostopgrad,2.0,0.7252500000000001,0.71434,0.8415,8.095000000000008,101,200000
st04,cifar10,jepa_nostopgrad,,0.754766,0.718672,0.8316,11.046600000000007,101,200000
st04,cifar10,jepa_pd1,1.0,0.389894,0.389894,0.6477,-25.440599999999996,2,2000
st04,cifar10,jepa_pd1,2.0,0.6204900000000001,0.295604,0.8428,-2.3809999999999887,101,200000
st04,cifar10,jepa_pd1,,0.7070360000000001,0.575702,0.832,6.2736000000000125,101,200000
st04,cifar10,jepa_pd4,,0.68121,0.6065499999999999,0.843,3.691,101,200000
st04,cifar10,jepa_w0.1,1.0,0.767268,0.765026,0.8489,12.296799999999998,101,200000
st04,cifar10,jepa_w0.1,2.0,0.7567299999999999,0.7553600000000001,0.8451,11.242999999999991,101,200000
st04,cifar10,jepa_w0.1,,0.708792,0.686802,0.8458,6.449199999999999,101,200000
st04,cifar10,jepa_w0.5,1.0,0.70411,0.630582,0.8348,5.981000000000003,101,200000
st04,cifar10,jepa_w0.5,2.0,0.7380139999999998,0.6849080000000001,0.8493,9.371399999999985,101,200000
st04,cifar10,jepa_w0.5,,0.329058,0.329058,0.6343,-31.524199999999997,2,2000
st04,cifar10,jepa_w1.0,1.0,0.6988500000000001,0.330156,0.8423,5.45500000000001,101,200000
st04,cifar10,jepa_w1.0,2.0,0.6834200000000001,0.558422,0.8392,3.9120000000000155,101,200000
st04,cifar10,jepa_w1.0,,0.352138,0.352138,0.6322,-29.216199999999997,2,2000
st05,cifar10,jepa_sd2_mh2,1.0,0.7900500000000001,0.788082,0.8337,14.575000000000015,101,200000
st05,cifar10,jepa_sd2_mh2,2.0,0.3448439999999999,0.3448439999999999,0.599,-29.94560000000001,2,2000
st05,cifar10,jepa_tick2,1.0,0.41645,0.41645,0.7329,-22.785,3,4000
st05,cifar10,jepa_tick2,2.0,0.42255,0.42255,0.7451,-22.175,3,4000
st05,cifar10,jepa_tick2,,0.46925,0.46325,0.7984,-17.505,5,8000
st05,cifar10,jepa_tick2_sd2_mh2,1.0,0.43575,0.43575,0.7095,-20.854999999999997,3,4000
st05,cifar10,jepa_tick2_sd2_mh2,2.0,0.3846,0.3846,0.4623,-25.97,2,2000
st05,cifar10,jepa_tick2_sd2_mh2,,0.50825,0.50825,0.6988,-13.605,3,4000
st06,cifar10,halt0.3,1.0,0.119986,0.119986,0.72,-52.4314,3,4000
st06,cifar10,halt0.3,2.0,0.1192279999999999,0.1192279999999999,0.7672,-52.50720000000001,5,8000
st06,cifar10,halt0.3,,0.1182119999999999,0.1182119999999999,0.6705,-52.60880000000001,2,2000
st06,cifar10,halt0.6,1.0,0.1251239999999999,0.125014,0.8438,-51.91760000000001,101,200000
st06,cifar10,halt0.6,2.0,0.125398,0.125274,0.8514,-51.8902,101,200000
st06,cifar10,halt0.6,,0.1245,0.1243979999999999,0.843,-51.980000000000004,101,200000
st06,cifar10,halt0.9,1.0,0.12538,0.1247819999999999,0.8419,-51.892,101,200000
st06,cifar10,halt0.9,2.0,0.1154879999999999,0.1154879999999999,0.6606,-52.88120000000001,2,2000
st06,cifar10,halt0.9,,0.1196139999999999,0.1196139999999999,0.7512,-52.46860000000001,4,6000
st08,cifar10,sparsity0.25,1.0,0.7251419999999998,0.7061019999999999,0.8404,8.084199999999985,101,200000
st08,cifar10,sparsity0.25,2.0,0.7007939999999999,0.6823279999999999,0.8507,5.649399999999993,101,200000
st10,cifar10,revise,1.0,0.7329819999999999,0.7297999999999999,0.8462,8.868199999999993,101,200000
st10,cifar10,revise,,0.688798,0.65751,0.8501,4.449800000000003,101,200000
st13,cifar10,jepa_halt,1.0,0.112976,0.112976,0.7313,-53.132400000000004,4,6000
st13,cifar10,jepa_halt,,0.1136959999999999,0.1136959999999999,0.7841,-53.06040000000001,4,6000
st15,cifar10,halt_sparsity,2.0,0.1160279999999999,0.1160279999999999,0.6541,-52.827200000000005,2,2000
st15,cifar10,halt_sparsity,,0.1199459999999999,0.1199459999999999,0.7368,-52.43540000000001,3,4000
st00,mazes,paper,0.0,0.9016125333333334,0.8853152,0.91172,9.88125333333334,100,100000
st01,mazes,d_model2x,1.0,0.8938394666666666,0.8919592,0.90794,9.103946666666662,100,100000
st01,mazes,d_model2x,2.0,0.8971737333333333,0.8608737333333333,0.90745,9.437373333333332,100,100000
st01,mazes,d_model2x,,0.8898406666666667,0.8812493333333333,0.89836,8.704066666666677,100,100000
st01,mazes,d_modeld2,1.0,0.8854849333333333,0.8834505333333335,0.8922,8.268493333333337,100,100000
st01,mazes,d_modeld2,2.0,0.8698565333333333,0.8682154666666667,0.87975,6.7056533333333395,100,100000
st01,mazes,d_modeld2,,0.8985610666666666,0.8983397333333333,0.90594,9.57610666666666,100,100000
st01,mazes,d_modeld4,1.0,0.8649770666666666,0.8649278666666667,0.87832,6.2177066666666665,100,100000
st01,mazes,d_modeld4,2.0,0.8684317333333333,0.8677870666666667,0.87667,6.563173333333339,100,100000
st01,mazes,d_modeld4,,0.8806250666666665,0.8597743999999998,0.88851,7.782506666666656,100,100000
st01,mazes,headsh16,1.0,0.8944929333333334,0.8943517333333333,0.90397,9.16929333333334,100,100000
